diameterK vratioI TransitionJ PX PY Pz RadiusCr DiameterV scale_con ratio current_bglac reported_ratios_vol.x reported_ratios_vol.y reported_ratios_vol.z reported_ratios_vol.w
0 3 4 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.8 0.2828142 NaN NaN NaN 0
0 3 4 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.8 0.3141423 NaN NaN NaN 0
0 3 4 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.8 0.3454703 NaN NaN NaN 0
0 3 5 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 1 0.18883 NaN NaN NaN 0
0 3 5 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 1 0.2201581 NaN NaN NaN 0
0 3 5 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 1 0.2514862 NaN NaN NaN 0
0 3 5 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 1 0.2828142 NaN NaN NaN 0
0 3 5 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 1 0.3141423 NaN NaN NaN 0
0 3 5 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 1 0.3454703 NaN NaN NaN 0
0 4 0 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0 0.18883 NaN NaN NaN 0
0 4 0 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0 0.2201581 NaN NaN NaN 0
0 4 0 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0 0.2514862 NaN NaN NaN 0
0 4 0 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0 0.2828142 NaN NaN NaN 0
0 4 0 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0 0.3141423 NaN NaN NaN 0
0 4 0 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0 0.3454703 NaN NaN NaN 0
0 4 1 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.2 0.18883 NaN NaN NaN 0
0 4 1 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.2 0.2201581 NaN NaN NaN 0
0 4 1 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.2 0.2514862 NaN NaN NaN 0
0 4 1 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.2 0.2828142 NaN NaN NaN 0
0 4 1 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.2 0.3141423 NaN NaN NaN 0
0 4 1 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.2 0.3454703 NaN NaN NaN 0
0 4 2 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.4 0.18883 NaN NaN NaN 0
0 4 2 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.4 0.2201581 NaN NaN NaN 0
0 4 2 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.4 0.2514862 NaN NaN NaN 0
0 4 2 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.4 0.2828142 NaN NaN NaN 0
0 4 2 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.4 0.3141423 NaN NaN NaN 0
0 4 2 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.4 0.3454703 NaN NaN NaN 0
0 4 3 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.6 0.18883 NaN NaN NaN 0
0 4 3 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.6 0.2201581 NaN NaN NaN 0
0 4 3 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.6 0.2514862 NaN NaN NaN 0
0 4 3 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.6 0.2828142 NaN NaN NaN 0
0 4 3 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.6 0.3141423 NaN NaN NaN 0
0 4 3 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.6 0.3454703 NaN NaN NaN 0
0 4 4 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.8 0.18883 NaN NaN NaN 0
0 4 4 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.8 0.2201581 NaN NaN NaN 0
0 4 4 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.8 0.2514862 NaN NaN NaN 0
0 4 4 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.8 0.2828142 NaN NaN NaN 0
0 4 4 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.8 0.3141423 NaN NaN NaN 0
0 4 4 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 0.8 0.3454703 NaN NaN NaN 0
0 4 5 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 1 0.18883 NaN NaN NaN 0
0 4 5 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 1 0.2201581 NaN NaN NaN 0
0 4 5 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 1 0.2514862 NaN NaN NaN 0
0 4 5 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 1 0.2828142 NaN NaN NaN 0
0 4 5 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 1 0.3141423 NaN NaN NaN 0
0 4 5 5.136265 -4.080121 1.57655 404.95 84.5 0.06640553 1 0.3454703 NaN NaN NaN 0
0 5 0 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0 0.18883 NaN NaN NaN 0
0 5 0 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0 0.2201581 NaN NaN NaN 0
0 5 0 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0 0.2514862 NaN NaN NaN 0
0 5 0 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0 0.2828142 NaN NaN NaN 0
0 5 0 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0 0.3141423 NaN NaN NaN 0
0 5 0 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0 0.3454703 NaN NaN NaN 0
0 5 1 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.2 0.18883 NaN NaN NaN 0
0 5 1 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.2 0.2201581 NaN NaN NaN 0
0 5 1 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.2 0.2514862 NaN NaN NaN 0
0 5 1 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.2 0.2828142 NaN NaN NaN 0
0 5 1 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.2 0.3141423 NaN NaN NaN 0
0 5 1 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.2 0.3454703 NaN NaN NaN 0
0 5 2 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.4 0.18883 NaN NaN NaN 0
0 5 2 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.4 0.2201581 NaN NaN NaN 0
0 5 2 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.4 0.2514862 NaN NaN NaN 0
0 5 2 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.4 0.2828142 NaN NaN NaN 0
0 5 2 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.4 0.3141423 NaN NaN NaN 0
0 5 2 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.4 0.3454703 NaN NaN NaN 0
0 5 3 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.6 0.18883 NaN NaN NaN 0
0 5 3 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.6 0.2201581 NaN NaN NaN 0
0 5 3 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.6 0.2514862 NaN NaN NaN 0
0 5 3 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.6 0.2828142 NaN NaN NaN 0
0 5 3 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.6 0.3141423 NaN NaN NaN 0
0 5 3 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.6 0.3454703 NaN NaN NaN 0
0 5 4 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.8 0.18883 NaN NaN NaN 0
0 5 4 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.8 0.2201581 NaN NaN NaN 0
0 5 4 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.8 0.2514862 NaN NaN NaN 0
0 5 4 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.8 0.2828142 NaN NaN NaN 0
0 5 4 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.8 0.3141423 NaN NaN NaN 0
0 5 4 3.252797 1.053526 -1.538918 455 84.5 0.09419638 0.8 0.3454703 NaN NaN NaN 0
0 5 5 3.252797 1.053526 -1.538918 455 84.5 0.09419638 1 0.18883 NaN NaN NaN 0
0 5 5 3.252797 1.053526 -1.538918 455 84.5 0.09419638 1 0.2201581 NaN NaN NaN 0
0 5 5 3.252797 1.053526 -1.538918 455 84.5 0.09419638 1 0.2514862 NaN NaN NaN 0
0 5 5 3.252797 1.053526 -1.538918 455 84.5 0.09419638 1 0.2828142 NaN NaN NaN 0
0 5 5 3.252797 1.053526 -1.538918 455 84.5 0.09419638 1 0.3141423 NaN NaN NaN 0
0 5 5 3.252797 1.053526 -1.538918 455 84.5 0.09419638 1 0.3454703 NaN NaN NaN 0
1 0 0 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0 0.18883 NaN NaN NaN 0
1 0 0 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0 0.2201581 NaN NaN NaN 0
1 0 0 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0 0.2514862 NaN NaN NaN 0
1 0 0 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0 0.2828142 NaN NaN NaN 0
1 0 0 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0 0.3141423 NaN NaN NaN 0
1 0 0 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0 0.3454703 NaN NaN NaN 0
1 0 1 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.2 0.18883 NaN NaN NaN 0
1 0 1 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.2 0.2201581 NaN NaN NaN 0
1 0 1 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.2 0.2514862 NaN NaN NaN 0
1 0 1 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.2 0.2828142 NaN NaN NaN 0
1 0 1 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.2 0.3141423 NaN NaN NaN 0
1 0 1 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.2 0.3454703 NaN NaN NaN 0
1 0 2 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.4 0.18883 NaN NaN NaN 0
1 0 2 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.4 0.2201581 NaN NaN NaN 0
1 0 2 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.4 0.2514862 NaN NaN NaN 0
1 0 2 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.4 0.2828142 NaN NaN NaN 0
1 0 2 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.4 0.3141423 NaN NaN NaN 0
1 0 2 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.4 0.3454703 NaN NaN NaN 0
1 0 3 2.473372 14.8506 -7.298881 341.4092 92.465 0.03979474 0.6 0.18883 NaN NaN NaN 0
